open	high	low	close	volume	companyName	datetime	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	tip_vela	cncf01	tip_caida	id_cncf01	ind_posicion	id_cncf	ind_high	iniTrendLow	x	sl_highs	interc_highs	trend
149.96	150.01	147.62	147.89	11481621	AAPL	2022-12-05 11:00:00	147.56239499999998	145.23683	147.617912					0		3.0	-1	1	150.01	True	0			
147.9	148.2	146.37	146.468	7183290	AAPL	2022-12-05 12:00:00	147.485295	145.2695325	147.581892					0		3.0	-1	1	148.2	False	1			
146.451	147.28	146.42	146.66	4656347	AAPL	2022-12-05 13:00:00	147.40729500000003	145.31530249999997	147.557792				inverted_hammer	0		3.0	-1	1			2			
146.66	146.9	146.12	146.1602	4226226	AAPL	2022-12-05 14:00:00	147.301805	145.3701325	147.53669399999998					0		3.0	-1	1			3			
146.16	146.43	145.77	146.0353	4696792	AAPL	2022-12-05 15:00:00	147.19302	145.422515	147.519697					0		3.0	-1	1			4			
146.03	146.8	145.8	146.61	8510858	AAPL	2022-12-05 16:00:00	147.140525	145.482265	147.501497					0		3.0	-1	1			5	-0.39703090909090916	148.81382813852812	146.82867359307357
147.4	147.6	146.264	147.21	125761	AAPL	2022-12-06 09:00:00	147.105025	145.54801500000002	147.486097				hammer	0		3.0	-1	1	147.6	False	6	-0.39703090909090916	148.81382813852812	146.43164268398266
147.21	147.47	145.11	145.1308	6013507	AAPL	2022-12-06 10:00:00	146.95135	145.597785	147.451305					0		3.0	-1	1			7	-0.39703090909090916	148.81382813852812	146.03461177489177
145.135	145.36	143.56	144.125	8455975	AAPL	2022-12-06 11:00:00	146.715815	145.5939625	147.4021					0		3.0	-1	1			8	-0.39703090909090916	148.81382813852812	145.63758086580086
144.12	145.015	143.85	144.56	6193134	AAPL	2022-12-06 12:00:00	146.527315	145.6554625	147.3599					0		3.0	-1	1			9	-0.39703090909090916	148.81382813852812	145.24054995670994
144.55	144.89	143.86	143.97	4336651	AAPL	2022-12-06 13:00:00	146.435815	145.7163475	147.3408					0		3.0	-1	1			10	-0.39703090909090916	148.81382813852812	144.84351904761903
143.98	144.19	143.11	143.57	6259111	AAPL	2022-12-06 14:00:00	146.301315	145.7769725	147.3016					0		3.0	-1	1			11	-0.39703090909090916	148.81382813852812	144.4464881385281
